Name,Ticker,"Sub-Sector","Market Cap","1W Change in On Balance Volume","RSI – 14D","% Price above 1M EMA","Beta","Relative Volume","Volatility","% From Upper Bollinger Band","ADX Rating – Trend Strength","1W Change in AD Line","Stochastic %K","William %R"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","149904.2542848","0.24937425386470255","62.0710709488338","2.324614864965868","0.537041196000493","0.8200469843121809","20.802400205707457","-2.5004181200778","26.0590717675861","1.4133582528370474","69.2176039119803","-30.78239608801969"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","149674.14","0.35206349282891436","55.7197086282959","3.0933656731892745","1.22301105772301","0.5796075052042027","25.670209921606695","-0.5744923178179","29.7418234229101","5.965107393614258","79.74322396576319","-20.256776034236804"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","148147.37965488","-0.0843428409715443","62.0564808110065","2.0196466539599944","1.00790648827692","1.616548418682759","20.732064136276367","-2.8275884434322","29.4026413954902","3.630799547963552","64.49491930663473","-35.50508069336528"
Vodafone Idea Ltd,IDEA,"Telecom Services","147129.84153135802","1.8677075881960283","87.6430205949657","16.60035256499828","1.13375758575647","1.7882141695153166","49.893696178117075","-3.6692615513155005","48.3726199959931","3.3684452492654158","97.27520435967303","-2.724795640326966"
Trent Ltd,TRENT,"Retail - Apparel","145746.30413539","-0.0399610068992785","41.6882444329363","-0.1969613995669195","1.60861287694742","0.6338531150784261","32.63360834079294","-6.5930474737628","33.6994402664443","7.75949093024826","31.86431623931616","-68.13568376068385"
Hyundai Motor India Ltd,HYUNDAI,"Four Wheelers","145233.596214","-9.73749343324647","44.5533769063181","-2.3974599313619116",,"1.3953939779556266","29.8805210547199","-5.6227433955388","20.3649023778739","-6.188891440504922","14.891304347826138","-85.10869565217386"
DLF Ltd,DLF,"Real Estate","144384.93181098","0.7213642538203093","46.4228424767404","-0.07511198024148236","1.61011286241449","0.7781677828420311","28.52639940580152","-5.8124598371111","25.7020906402986","3.86090408519979","44.56193353474317","-55.43806646525683"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","142207.4674182","0.1760372511419013","73.9684921230308","9.054146567673161","1.8715838623857","1.0902499886645172","34.739450333436515","-5.6810683870396","59.6739170484712","105.85729972998526","87.47693118903243","-12.52306881096758"
Power Finance Corporation Ltd,PFC,"Specialized Finance","141689.8690656","-0.14289250662981878","32.1931589537223","-3.5773295710473496","1.37459551810946","0.670002161177807","28.062357397508787","-11.2764067691422","36.5216904105213","1.316291626398184","15.538290788013335","-84.46170921198667"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","141015.4034801","3.6820600493683666","47.0638057594579","0.7078121825168093","0.932892745448179","1.1109470816827516","25.73652320012945","-4.66072154877","29.145698005205","0.7271325169714649","62.22841225626744","-37.77158774373257"
ABB India Ltd,ABB,"Heavy Electrical Equipments","139965.4816875","0.9303861225881869","30.9558186543459","-1.529787109175107","1.04556879119364","1.1369705740338836","28.482701908570537","-16.0698792571724","45.3486745907687","22.63018189511007","35.605749486652975","-64.39425051334702"
Tata Motors Ltd,TMCV,"Trucks & Buses","139818.12223281","-161.002607482986","32.0999519461797","-5.809531958235126",,"0.9105979232579919","41.898620320550236","-16.0131795294583","35.7059506131974","3.010200733401937","19.193324061196112","-80.80667593880389"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","139191.283180127","2.5391066448014246","63.4124361670171","4.428205028302479","1.33865412563216","1.0790078499672489","33.76798861571245","-1.8201256456653998","35.9851335747153","8.387447776002514","78.22626492325178","-21.773735076748217"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","138497.5204452","0.4210814794214376","81.5370759531672","6.032636823243243","1.19084005594721","1.0624976254971037","29.553476503875835","-4.070877229318301","42.9215028558419","3.364281427233342","92.85714285714286","-7.142857142857142"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","136291.25022754498","0.2980247687137515","45.1824518245183","-1.112929115612904","1.23474553496361","1.1787785426310746","26.924452058053678","-5.5264885151831","27.0996409554307","1.7770756268450885","49.698795180722996","-50.301204819277004"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","134383.227270925","0.36090382032012475","55.9347499463404","4.048169517313016","1.2003961750653","1.3524255676799637","31.276522563796362","-1.8568005962723","35.9525476201012","0.9576054930069257","63.80798274002159","-36.19201725997841"
