Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
3i Infotech Ltd,3IINFOLTD,"IT Services & Consulting","365.86024498800003","714.77",,,"7.270000000000003","197.75","0.34","12.340000000000003","185.41","7.510000000000003","6.1700000000000035"
Ruchira Papers Ltd,RUCHIRA,"Paper Products","365.571221265","46.279999999999966","46.09","27.33","2.0300000000000127","132.74","0.68","9.970000000000013","122.77","5.770000000000013","2.8800000000000128"
Sizemasters Technology Ltd,SIZEMASTER,"Animation","364.9","1.6399999999999995","2.35","1.32","0.93","7.49","0.93","1.37","6.12","1.34","1.31"
Orient Paper and Industries Ltd,ORIENTPPR,"Paper Products","363.261579424","944.16",,,"-10.949999999999992","234.63","-0.52","6.960000000000008","227.67","-8.999999999999993","-13.789999999999992"
Fluidomat Ltd,FLUIDOM,"Industrial Machinery","362.57793","3.179999999999993","12.89","5.42","2.2800000000000007","15.25","4.62","3.460000000000001","11.79","3.150000000000001","3.150000000000001"
Virtual Galaxy Infotech Ltd,VGINFOTECH,"Software Services","362.33601195","47.599999999999994","10.71","6.1","9.589999999999996","41.37","3.85","18.159999999999997","23.21","14.339999999999996","13.399999999999997"
Dcm Shriram Industries Ltd,DCMSRIND,"Packaged Foods & Meats","362.322450525","1059.9",,,"15.909999999999993","275.89","1.83","35.349999999999994","240.54","30.889999999999993","24.749999999999993"
Goa Carbon Ltd,GOACARBON,"Metals - Coke","362.24439342","724.37",,,"4.490000000000014","202.62","4.91","10.890000000000015","191.73","10.170000000000014","4.590000000000014"
Simplex Castings Ltd,SIMPLEXCAS,"Iron & Steel","361.791773875","5.179999999999992","10.22","6.59","4.760000000000002","49.15","6.33","9.32","39.83","8.370000000000001","6.360000000000001"
Nupur Recyclers Ltd,NRL,"Metals - Diversified","361.714326815","68.47999999999999","4.1","1.4","4.0299999999999985","61.43","0.58","8.509999999999998","52.92","7.419999999999998","6.579999999999998"
JTL Defence Ltd,JTLDEFENCE,"Metals - Copper","361.210499225","15.07",,,"1.6899999999999997","15.24","1.21","3.6899999999999995","11.55","2.3899999999999997","1.3999999999999997"
Dev Accelerator Ltd,DEVX,"Real Estate","360.56968496999997","116.64",,,"7.910000000000002","63.35","0.98","35.42","27.93","20.78","10.500000000000002"
Giriraj Civil Developers Ltd,GIRIRAJ,"Construction & Engineering","359.1663075","12.469999999999981","8.59","15.53","0.7599999999999998","22.26","2.37","1.8399999999999999","20.42","1.8199999999999998","1.0599999999999998"
Markolines Pavement Technologies Ltd,MARKOLINES,"Roads","357.10698584","123.49","17.62","22.36","6.99","94.63","3.33","11.61","83.02","9.73","8.42"
Purple United Sales Ltd,PURPLEUTED,"Apparel & Accessories","357.052119","134.95",,,,,,,,,
Corporate Merchant Bankers Ltd,CMBL,"Investment Banking & Brokerage","356.96518997","0.64","0.14",,"0.5299999999999999","1.66","0.08","0.7599999999999999","0.9","0.7599999999999999","0.7599999999999999"
Onesource Industries and Ventures Ltd,OIVL,"Investment Banking & Brokerage","356.49705","-1.3999999999999955","0.1","0.66","2.2599999999999993","28.99","0.73","3.1099999999999994","25.88","3.1099999999999994","3.0099999999999993"
Anlon Technology Solutions Ltd,ANLON,"Construction & Engineering","355.93226","-2.950000000000001","9.48","5.51","1.8700000000000008","10.74","3.38","2.9400000000000004","7.8","2.8900000000000006","2.630000000000001"
Aerpace Industries Ltd,AERPACE,"Renewable Energy","355.74277438400003","13.57",,,"-8.090000000000002","0.04","-0.58","-7.71","7.75","-8.3","-9.010000000000002"
Stovec Industries Ltd,STOVACQ,"Industrial Machinery","355.73528591999997","8.069999999999975","34.92","21.03","1.6699999999999953","47.41","7.96","3.3799999999999955","44.03","2.059999999999995","2.059999999999995"
Cool Caps Industries Ltd,COOLCAPS,"Plastic Products","355.534575","0.4300000000000015","6.28","12.43","2.0600000000000023","47.04","0.15115957975947894","5.130000000000003","41.91","4.270000000000002","2.8800000000000026"
Megastar Foods Ltd,MEGASTAR,"Packaged Foods & Meats","354.960991","5.360000000000015","9.95","7.86","3.059999999999986","141.38","2.71","9.639999999999986","131.74","7.329999999999986","3.719999999999986"
Ginni Filaments Ltd,GINNIFILA,"Textiles","354.76256923","310.97",,,"7.140000000000004","90.44","0.84","13.560000000000002","76.88","11.110000000000003","10.080000000000004"
Systango Technologies Ltd,SYSTANGO,"IT Services & Consulting","353.371392","56.34",,,,,,,,,
Deepak Builders & Engineers India Ltd,DBEIL,"Construction & Engineering","353.3158231","84.01000000000002","28.51","14.21","5.159999999999992","167.75","1.11","16.319999999999993","151.43","14.599999999999993","7.159999999999992"
ICICI Prudential Nifty 100 Low Vol 30 ETF,LOWVOLIETF,"Equity","352.8765443",,,,,,,,,,
Twamev Construction and Infrastructure Ltd,TICL,"Construction & Engineering","352.78","87.07","6.4","6.71","1.7000000000000006","21.03","0.11","2.1400000000000006","18.89","1.8500000000000005","1.7000000000000006"
Rajasthan Securities Ltd,RAJSEC,"Gas Distribution","352.1588778","1.3877787807814457e-17","0.09","0.11","-23.990000000000002","0.55","-3.12","-23.62","24.17","-23.62","-23.990000000000002"
Atal Realtech Ltd,ATALREAL,"Construction & Engineering","352.1131425","108.88",,,"3.0699999999999985","60.26","0.48","4.719999999999999","55.54","4.399999999999999","4.159999999999998"
Aarti Surfactants Ltd,AARTISURF,"Specialty Chemicals","351.687380725","812.25",,,"4.200000000000024","256.47","4.95","13.410000000000025","243.06","8.950000000000024","5.890000000000024"
Mangal Credit and Fincorp Ltd,MANCREDIT,"Consumer Finance","350.639965502","24.1","6.04",,"3.8299999999999983","18.34","1.82","5.679999999999998","12.660000000000002","5.219999999999998","5.219999999999998"
Vardhman Acrylics Ltd,VARDHACRLC,"Textiles","350.466296306","301.89",,,"15.590000000000005","87.84","1.94","14.400000000000006","73.44","13.690000000000005","13.680000000000005"
Beezaasan Explotech Ltd,BEEZAASAN,"Textiles","348.490802","9.190000000000005","2.72","1.91","4.489999999999998","35.4","4.72","7.369999999999997","28.03","6.689999999999998","5.809999999999998"
Tracxn Technologies Ltd,TRACXN,"IT Services & Consulting","347.9617305","1.8999999999999968","73.87","7.51","-0.8200000000000003","22.61","-0.08","-1.0700000000000003","23.68","-1.1200000000000003","-1.1200000000000003"
Mold-Tek Technologies Ltd,MOLDTECH,"Construction & Engineering","347.82179985","170.3",,,"2.2900000000000005","59.02","0.8","4.57","54.45","3.1100000000000003","2.8500000000000005"
Ratnabhumi Developers Ltd,RATNABHUMI,"Real Estate","346.61","138.86","0.99","11.89","0.6000000000000001","8.16","0.45","4.49","3.67","4.28","0.8700000000000001"
Property Share Investment Trust,PSPLATINA,"Real Estate","346.183","1.47",,,"1.0200000000000005","8.01","3006.56","7.7","0.31","6.08","5.87"
Bedmutha Industries Ltd,BEDMUTHA,"Iron & Steel","346.126947552","40.05000000000006","18.71","16.17","-3.900000000000013","357.55","-1.21","11.889999999999986","345.66","6.0499999999999865","-3.8200000000000127"
Jay Ushin Ltd,JAYUSH,"Auto Parts","345.87275","38.769999999999996","72.61","14.2","4.300000000000016","248.65","11.13","10.920000000000016","237.73","6.810000000000016","3.7600000000000158"
Naperol Investments Ltd,NAPEROL,"Specialized Finance","345.595845","15.680000000000001",,,"11.23","19.52","19.52","11.1","8.42","11.1","11.1"
Nandani Creation Ltd,JAIPURKURT,"Apparel & Accessories","345.16295935","-6.110000000000005","4.15","12.83","0.23999999999999988","26.9","0.12","1.8399999999999999","25.06","1.3199999999999998","0.3599999999999999"
Felix Industries Ltd,FELIX,"Water Management","345.07334925","2.83","1.85","10.83","5.57","27.39","2.43","7.93","19.46","7.38","6.66"
Pramara Promotions Ltd,PRAMARA,"Advertising","344.90899548000004","-10.340000000000003","3.63","4.33",,,,,,,
Danlaw Technologies India Ltd,DANLAW,"IT Services & Consulting","344.867576935","5.210000000000014","46.27","5.54","4.490000000000002","61.81","9.21","8.130000000000003","53.68","6.5500000000000025","6.110000000000002"
RPP Infra Projects Ltd,RPPINFRA,"Construction & Engineering","344.37420051","996.9300000000001","29.07","18.63","0.6700000000000341","383.1","0.13","7.150000000000034","375.95","5.370000000000034","1.860000000000034"
National Peroxide Ltd,NPL,"Specialty Chemicals","343.641865","259.11",,,"7.9200000000000035","87.06","13.8","16.260000000000005","70.8","10.980000000000004","10.660000000000004"
Ganesh Infraworld Ltd,GANESHIN,"Construction & Engineering","343.05281791","730.36",,,"24.459999999999994","231.29","5.73","31.289999999999992","200","30.16999999999999","26.069999999999993"
Mizzen Ventures Ltd,MIZVEN,"Construction & Engineering","342.46215","0.29","0.2","0.12","-0.01999999999999999","0.61","-0.01","0.35","0.26","0.31","0.22"
Savy Infra and Logistics Ltd,SAVY,"Construction & Engineering","342.299496","164.75","0.98","0.79","5.279999999999998","50.6","3.52","4.009999999999998","46.59","4.009999999999998","3.659999999999998"
Transworld Shipping Lines Ltd,TRANSWORLD,"Logistics","342.29598193699997","504.94",,,"-29.51999999999998","134.02","-13.44","3.0400000000000205","130.98","-22.31999999999998","-28.24999999999998"
Fundviser Capital (India) Ltd,FUNDVISER,"Construction Materials","341.28","0.13000000000000256","0.22","30.47","1.4099999999999975","51.39","3.2","2.6199999999999974","48.77","2.5799999999999974","2.5799999999999974"
Astal Laboratories Ltd,ASTALLTD,"Pharmaceuticals","341.097414656","-13.329999999999997","1.26","1.57","2.370000000000003","52.27","2.19","3.5900000000000034","48.68","3.4700000000000033","3.1400000000000032"
Brandman Retail Ltd,BRANDMAN,"Retail - Speciality","341.08879728","134.18",,,"5.629999999999994","68.41","4.14","8.569999999999993","59.84","8.209999999999994","7.619999999999994"
Apsis Aerocom Ltd,APSISAERO,"Aerospace & Defense Equipments","340.94884509","-1.1600000000000004","3.04","2.15",,,,,,,
IL&FS Engineering and Construction Company Ltd,IL&FSENGG,"Construction & Engineering","340.9148028","249.73999999999995","42.1","20.62","1.780000000000006","71.29","0.14","4.040000000000006","67.25","2.460000000000006","1.6600000000000061"
Likhami Consulting Ltd,LIKHAMI,"Outsourced services","340.29","0.01999999999999999","0.23","0.12","0.039999999999999994","0.15","0.04","0.039999999999999994","0.11","0.039999999999999994","0.039999999999999994"
Remsons Industries Ltd,REMSONSIND,"Auto Parts","340.13791132","21.599999999999966","78.61","28.95","5.1200000000000045","123.76","1.47","14.480000000000004","109.28","10.060000000000004","8.060000000000004"
Jainam Ferro Alloys (I) Ltd,JAINAM,"Metals - Diversified","339.6248","20.04999999999998","3.42","7.96","5.3599999999999985","101.95","5.06","8.719999999999999","93.23","7.999999999999999","7.229999999999999"
GTV Engineering Ltd,GTV,"Construction & Engineering","339.0199452","83.15",,,"3.109999999999998","32.36","0.66","4.349999999999998","28.01","4.109999999999998","4.089999999999998"
Sahyadri Industries Ltd,SAHYADRI,"Cement","338.897448","618.29",,,"10.550000000000011","196.53","9.64","20.77000000000001","175.76","14.42000000000001","13.91000000000001"
Sheetal Universal Ltd,SHEETAL,"Agro Products","338.238370475","-10.530000000000001","0.33","5.37",,,,,,,
Avana Electrosystems Ltd,AVANA,"Electrical Components & Equipments","337.4165792","3.1799999999999957","8.86","4.52",,,,,,,
UVS Hospitality and Services Ltd,UVS,"Restaurants & Cafes","336.329532","26.410000000000004","27.91","25.9","6.220000000000002","36.46","1.63","7.970000000000002","28.49","6.460000000000003","6.220000000000002"
Committed Cargo Care Ltd,COMMITTED,"Logistics","335.6634","164.49","11.22","3.21",,,,,,,
Atlantaa Ltd,ATLANTAA,"Construction & Engineering","335.454","37.71",,,"21.6","34.85","2.65","42.68","-7.83","31.17","28.090000000000003"
Adisoft Technologies Ltd,ADISOFT,"Industrial Machinery","335.41649","3.140000000000004","8.38","7.9",,,,,,,
Muthoot Capital Services Ltd,MUTHOOTCAP,"Diversified Financials","334.70729655","609.5799999999999",,,"5.350000000000003","168.67","3.26","11.340000000000003","157.32999999999998","7.740000000000004","7.740000000000004"
Setco Automotive Ltd,SETCO,"Auto Parts","333.8831184","42.83999999999994","106.79","99.57","-50.69","197.24","-3.79","29.560000000000002","167.68","23.160000000000004","-38.989999999999995"
Tankup Engineers Ltd,TANKUP,"Heavy Machinery","333.585","-3.72","2.55","1.48",,,,,,,
Soma Textiles & Industries Ltd,SOMATEX,"Textiles","333.236904","4.240000000000001","1.49","0.18","1.9400000000000024","29.69","0.59","1.9700000000000024","27.72","1.9400000000000024","1.9400000000000024"
Mahindra EPC Irrigation Ltd,MAHEPC,"Agricultural & Farm Machinery","333.005271242","72.57000000000005","34.66","42.54","4.790000000000006","108","1.71","8.040000000000006","99.96","7.250000000000006","6.3600000000000065"
Ekansh Concepts Ltd,EKANSH,"Construction & Engineering","332.882838","20.009999999999998","16.17","2.97","-3.269999999999999","2.41","-2.17","-2.3599999999999994","4.77","-2.6099999999999994","-3.9099999999999993"
Gayatri Rubbers and Chemicals Ltd,GRCL,"Tires & Rubber","332.5171","32.99",,,"0.3699999999999998","5.56","0.64","0.6299999999999999","4.93","0.5599999999999998","0.5199999999999998"
Alphalogic Techsys Ltd,ALPHALOGIC,"Software Services","332.152654725","1.3899999999999963","0.62","1.09","1.3700000000000006","10.13","0.22","3.0600000000000005","7.07","2.8700000000000006","2.7500000000000004"
Anjani Portland Cement Ltd,APCL,"Cement","331.9348332","140.95000000000002","35.79","12.36","-19.570000000000004","80.28","-6.66","-1.2600000000000051","81.54","-11.920000000000005","-20.700000000000003"
Majestic Auto Ltd,MAJESAUT,"Auto Parts","331.52358603000005","10.650000000000006","7.55","5.72","5.460000000000001","14.19","5.24","9.3","4.89","7.790000000000001","7.300000000000001"
Artificial Electronics Intelligent Material Ltd,AEIM,"Software Services","330.23655665","0.15999999999999925","0.86","1.25","14.440000000000005","64.59","5.41","20.330000000000005","44.26","19.500000000000007","19.380000000000006"
Varvee Global Ltd,VGL,"Textiles","330.144239946","106.78","5.29","2.03","5.340000000000005","33.77","3.68","20.160000000000004","13.61","18.940000000000005","18.940000000000005"
Robust Hotels Ltd,RHL,"Hotels, Resorts & Cruise Lines","329.8391012","29.180000000000007","21.32","27.4","7.079999999999998","43.43","4.1","18.23","25.2","13.79","9.079999999999998"
Spencer's Retail Ltd,SPENCERS,"Retail - Department Stores","328.723856868","199.27999999999994","159.86","145.63","-58.35000000000001","504.18","-6.47","8.019999999999982","496.16","-15.040000000000017","-58.41000000000001"
Talbros Engineering Ltd,TALBROSENG,"Auto Parts","328.52595636","49.40999999999997","35.98","35.8","7.480000000000016","139.77","14.75","16.200000000000017","123.57","13.100000000000017","10.220000000000017"
Yash Optics & Lens Ltd,YASHOPTICS,"Pharmaceuticals","328.268028","39.26",,,,,,,,,
DJ Mediaprint & Logistics Ltd,DJML,"Logistics","328.13658779499997","49.2","3.97","10.65","1.940000000000002","27.67","0.56","5.080000000000002","22.59","3.140000000000002","2.430000000000002"
Genus Paper & Boards Ltd,GENUSPAPER,"Paper Products","328.09269944","4.9900000000000055","31.25","26.33","2.890000000000022","237.55","0.11","18.32000000000002","219.23","12.840000000000021","1.4800000000000217"
Omnitex Industries (India) Ltd,OMNITEX,"Commodities Trading","327.9198","0.029999999999999943","0.04","0.12","-0.18000000000000002","0.11","-0.44","-0.14","0.25","-0.14","-0.14"
Nippon India ETF Nifty PSU Bank BeES,PSUBNKBEES,"Equity","327.73773732",,,,,,,,,,
Parmeshwar Metal Ltd,PARMESHWAR,"Metals - Copper","327.5484","1929.97",,,"2.0800000000000023","295.34","2.76","3.5600000000000023","291.78","3.3500000000000023","2.7200000000000024"
Bafna Pharmaceuticals Ltd,BAFNAPH,"Pharmaceuticals","327.30905106","24.220000000000002","21.03","9.37","1.8399999999999959","39.51","0.78","4.269999999999996","35.24","2.6999999999999957","1.8399999999999959"
Career Point Edutech Ltd,CPEDU,"Education Services","326.70879856199997","4.510000000000002","7.14","12.02","5.129999999999999","16.36","2.81","7.369999999999999","8.99","7.219999999999999","7.219999999999999"
Agribio Spirits Ltd,AGRIBIO,"Agro Products","325.54752866999996","0.009999999999999565","0.04","0.97","1.0800000000000007","9.32","1.01","1.290000000000001","8.03","1.270000000000001","1.1800000000000008"
Lancer Container Lines Ltd,LANCER,"Logistics","325.355884278","652.0699999999999","22.83","8.43","-7.429999999999997","59.32","-0.3","3.1700000000000017","56.15","-6.369999999999997","-7.289999999999997"
Jinkushal Industries Ltd,JKIPL,"Business Support Services","325.167806","6.91999999999998","6.34","37.01","-8.500000000000002","45.36","-2.21","-7.280000000000001","52.64","-7.500000000000001","-8.340000000000002"
Shiv Texchem Ltd,SHIVTEXCHEM,"Specialty Chemicals","324.411808","-5.9199999999997885","4.55","25.48","10.570000000000002","465.59","6.19","18.310000000000002","447.28","18.250000000000004","14.380000000000003"
Nicco Parks & Resorts Ltd,NICCOPAR,"Hotels, Resorts & Cruise Lines","324.2304","70.02",,,"-0.7200000000000001","15.7","-0.15","0.16999999999999993","15.53","-0.8200000000000001","-0.8200000000000001"
